Sector,Ticker,Beta,Returns,Allocation,Portfolio Returns,Variance,SD
Technology,AAPL,1.17,0.128900,0.060000,0.007700,0.007343,0.085700
Finance,AXP,1.21,0.132000,0.020000,0.002600,0.008362,0.091400
Finance,BAC,1.37,0.144100,0.050000,0.007200,0.009373,0.096800
Media,DIS,0.93,0.110700,0.050000,0.005500,0.005528,0.074300
Logistics,FDX,1.14,0.126600,0.030000,0.003800,0.007545,0.086900
Commodities,GLD,-0.01,0.039200,0.050000,0.002000,0.000695,0.026400
Technology,GOOGL,1.05,0.119800,0.080000,0.009600,0.006074,0.077900
Home Development,HD,1.08,0.122100,0.040000,0.004900,0.006868,0.082900
Finance,IEP,0.96,0.113000,0.040000,0.004500,0.005880,0.076700
Finance,JPM,1.23,0.133500,0.050000,0.006700,0.008040,0.089700
Airlines,LUV,0.98,0.114500,0.050000,0.005700,0.005914,0.076900
Finance,MA,1.21,0.132000,0.020000,0.002600,0.008362,0.091400
Food,MCD,0.82,0.102300,0.040000,0.004100,0.004824,0.069500
Technology,MSFT,1.21,0.132000,0.060000,0.007900,0.007693,0.087700
Index,SPY,1,0.116000,0.050000,0.005800,0.006072,0.077900
Media,T,0.74,0.096200,0.050000,0.004800,0.004180,0.064600
Automobiles,TSLA,1.21,0.132000,0.050000,0.006600,0.007858,0.088600
Logistics,UPS,0.81,0.101600,0.030000,0.003000,0.004852,0.069700
Energy,USL,1.77,0.174500,0.030000,0.005200,0.014329,0.119700
Finance,V,1.14,0.126600,0.020000,0.002500,0.007701,0.087800
Finance,WFC,1.21,0.132000,0.040000,0.005300,0.008024,0.089600
Technology,WORK,0.65,0.089400,0.050000,0.004500,0.003607,0.060100
Food,YUM,0.87,0.106100,0.040000,0.004200,0.005189,0.072000
