Date,Open,High,Low,Close,Adj Close,Volume
1987-07-23,0.000000,16.531916,14.586985,15.924125,3.080748,225200
1987-07-24,15.924125,16.288799,15.802567,15.924125,3.080748,55600
1987-07-27,15.924125,16.045683,15.559450,15.924125,3.080748,33000
1987-07-28,15.924125,15.924125,15.316334,15.559450,3.010196,33600
1987-07-29,15.559450,15.559450,14.830101,14.830101,2.869093,29300
1987-07-30,14.951659,15.316334,14.951659,15.073217,2.916128,35300
1987-07-31,15.073217,15.194776,14.951659,14.951659,2.892611,23300
1987-08-03,14.951659,15.437892,14.708543,15.316334,2.963161,37400
1987-08-04,15.316334,15.802567,15.194776,15.681008,3.033713,38200
1987-08-05,15.681008,16.410358,15.681008,16.410358,3.174816,19600
1987-08-06,16.410358,17.018148,16.410358,16.896591,3.268883,30100
1987-08-07,16.653475,16.653475,16.167242,16.653475,3.221852,7500
1987-08-10,16.653475,16.775032,16.288799,16.531916,3.198333,12500
1987-08-11,16.531916,16.531916,16.167242,16.288799,3.151299,13900
1987-08-12,16.288799,16.288799,15.681008,15.681008,3.033713,14600
1987-08-13,15.681008,16.045683,15.559450,15.924125,3.080748,18900
1987-08-14,15.924125,16.167242,15.559450,15.559450,3.010196,26700
1987-08-17,15.559450,15.924125,15.559450,15.924125,3.080748,14100
1987-08-18,15.924125,15.924125,15.681008,15.924125,3.080748,27500
1987-08-19,15.802567,15.802567,15.559450,15.681008,3.033713,21700
1987-08-20,15.681008,15.924125,15.559450,15.681008,3.033713,30300
1987-08-21,15.681008,15.681008,15.559450,15.681008,3.033713,10800
1987-08-24,15.681008,15.681008,15.437892,15.681008,3.033713,10300
1987-08-25,15.681008,15.681008,15.437892,15.559450,3.010196,12100
1987-08-26,15.559450,16.045683,15.559450,16.045683,3.104264,25400
1987-08-27,15.802567,15.802567,15.681008,15.681008,3.033713,11600
1987-08-28,15.681008,15.924125,15.681008,15.924125,3.080748,10900
1987-08-31,15.924125,16.045683,15.802567,16.045683,3.104264,7900
1987-09-01,16.045683,16.167242,15.802567,15.802567,3.057230,14700
1987-09-02,15.802567,15.924125,15.559450,15.802567,3.057230,35800
1987-09-03,15.802567,15.924125,15.681008,15.924125,3.080748,12600
1987-09-04,15.924125,15.924125,15.681008,15.681008,3.033713,7400
1987-09-08,15.681008,15.924125,15.681008,15.802567,3.057230,6800
1987-09-09,15.802567,15.924125,15.681008,15.802567,3.057230,11300
1987-09-10,15.802567,15.802567,15.559450,15.681008,3.033713,13800
1987-09-11,15.681008,15.802567,15.681008,15.802567,3.057230,4500
1987-09-14,15.802567,15.802567,15.681008,15.681008,3.033713,5700
1987-09-15,15.681008,15.802567,15.681008,15.681008,3.033713,13800
1987-09-16,15.681008,15.802567,15.681008,15.681008,3.033713,7000
1987-09-17,15.681008,15.924125,15.681008,15.924125,3.080748,7800
1987-09-18,15.924125,16.045683,15.802567,15.924125,3.080748,14200
1987-09-21,15.924125,15.924125,15.681008,15.681008,3.033713,7900
1987-09-22,15.681008,15.924125,15.681008,15.681008,3.033713,11600
1987-09-23,15.681008,16.045683,15.681008,16.045683,3.104264,11200
1987-09-24,15.802567,15.802567,15.559450,15.681008,3.033713,8500
1987-09-25,15.681008,15.802567,15.559450,15.802567,3.057230,10100
1987-09-28,15.681008,15.681008,15.316334,15.316334,2.963161,25200
1987-09-29,15.316334,15.559450,15.194776,15.194776,2.939643,7900
1987-09-30,15.194776,15.559450,14.951659,15.559450,3.010196,11200
1987-10-01,15.437892,15.437892,15.073217,15.073217,2.916128,17900
1987-10-02,15.073217,15.194776,15.073217,15.073217,2.916128,10200
1987-10-05,15.073217,15.194776,14.708543,14.830101,2.869093,16400
1987-10-06,14.951659,15.073217,14.951659,14.951659,2.892611,8500
1987-10-07,14.951659,15.073217,14.830101,14.830101,2.869093,33400
1987-10-08,14.830101,14.830101,14.586985,14.708543,2.845576,20800
1987-10-09,14.708543,14.708543,14.100752,14.100752,2.727990,19300
1987-10-12,13.979194,13.979194,13.614519,13.736077,2.657438,12700
1987-10-13,13.736077,13.979194,13.614519,13.857635,2.680956,34400
1987-10-14,13.857635,13.979194,13.736077,13.736077,2.657438,19900
1987-10-15,13.736077,13.979194,13.614519,13.736077,2.657438,20500
1987-10-16,13.736077,13.857635,13.614519,13.614519,2.633922,17200
1987-10-19,13.614519,13.614519,12.885170,13.006728,2.516335,18700
1987-10-20,13.006728,13.614519,12.155821,12.520495,2.422267,58200
1987-10-21,12.763612,14.100752,12.763612,13.736077,2.657438,35500
1987-10-22,13.736077,13.979194,13.614519,13.857635,2.680956,11900
1987-10-23,13.857635,14.100752,13.736077,13.857635,2.680956,11700
1987-10-26,13.857635,13.857635,13.736077,13.736077,2.657438,12700
1987-10-27,13.736077,14.222310,13.736077,14.100752,2.727990,11100
1987-10-28,13.979194,13.979194,13.736077,13.857635,2.680956,13200
1987-10-29,13.857635,14.222310,13.736077,14.222310,2.751508,19700
1987-10-30,14.586985,15.194776,14.586985,15.194776,2.939643,17500
1987-11-02,15.194776,15.437892,15.073217,15.316334,2.963161,22100
1987-11-03,15.316334,15.437892,15.194776,15.437892,2.986679,10700
1987-11-04,15.316334,15.316334,15.194776,15.316334,2.963161,10400
1987-11-05,15.316334,15.681008,15.316334,15.437892,2.986679,13800
1987-11-06,15.437892,15.802567,15.437892,15.681008,3.033713,10500
1987-11-09,15.681008,15.681008,15.437892,15.559450,3.010196,15500
1987-11-10,15.559450,15.802567,15.437892,15.681008,3.033713,17800
1987-11-11,15.681008,16.167242,15.681008,15.924125,3.080748,15200
1987-11-12,15.924125,16.167242,15.681008,16.045683,3.104264,16700
1987-11-13,16.045683,16.045683,15.802567,15.924125,3.080748,11700
1987-11-16,15.924125,15.924125,15.681008,15.802567,3.057230,7600
1987-11-17,15.802567,15.924125,15.559450,15.924125,3.080748,8600
1987-11-18,15.924125,16.045683,15.802567,16.045683,3.104264,17800
1987-11-19,16.045683,16.167242,15.924125,15.924125,3.080748,15200
1987-11-20,15.924125,16.045683,15.559450,15.924125,3.080748,14900
1987-11-23,15.802567,15.802567,15.437892,15.681008,3.033713,9800
1987-11-24,15.681008,15.681008,15.316334,15.559450,3.010196,21900
1987-11-25,15.559450,15.924125,15.559450,15.802567,3.057230,14400
1987-11-27,15.802567,15.802567,15.681008,15.802567,3.057230,1000
1987-11-30,15.681008,15.681008,15.194776,15.437892,2.986679,15800
1987-12-01,15.437892,15.802567,15.437892,15.681008,3.033713,15600
1987-12-02,15.681008,15.802567,15.437892,15.559450,3.010196,12800
1987-12-03,15.559450,15.559450,15.194776,15.316334,2.963161,10600
1987-12-04,15.316334,15.437892,15.073217,15.316334,2.963161,10300
1987-12-07,15.316334,15.316334,14.465426,15.194776,2.939643,26500
1987-12-08,15.194776,15.802567,15.073217,15.559450,3.010196,16900
1987-12-09,15.437892,15.437892,15.194776,15.437892,2.986679,7200
1987-12-10,15.437892,15.437892,14.951659,15.073217,2.916128,8200
1987-12-11,15.073217,15.194776,14.708543,14.830101,2.869093,7400
1987-12-14,14.830101,15.073217,14.708543,14.708543,2.845576,9200
1987-12-15,14.708543,14.830101,14.586985,14.830101,2.869093,7100
1987-12-16,14.830101,14.951659,14.586985,14.830101,2.869093,6500
1987-12-17,14.830101,14.951659,14.708543,14.951659,2.892611,10600
1987-12-18,14.951659,15.316334,14.830101,15.194776,2.939643,8200
1987-12-21,15.194776,15.437892,14.951659,15.194776,2.939643,8000
